date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:13	119/119	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202024%2021:21:08%20GMT	https://musicapp.top/robots.txt		(from )
18:21:13	2387/2387	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2020:51:42%20GMT	https://musicapp.top/musicyt/	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/index.html	(from )
18:21:13	6595/6595	---MCZ	200	added ('OK')	text/css	etag:W/%22661d9360-24d8%22	https://musicapp.top/musicyt/style.css	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/style.css	(from https://musicapp.top/musicyt/)
18:21:13	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/Users/DXP%20HUB/Desktop/Musicapix/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://musicapp.top/musicyt/)
18:21:14	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/Users/DXP%20HUB/Desktop/Musicapix/code.jquery.com/jquery-3.7.1.min.js	(from https://musicapp.top/musicyt/)
18:21:14	5275/5275	---M--	200	added ('OK')	image/png	etag:%22661d935e-149b%22	https://musicapp.top/musicyt/favicon.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/favicon.png	(from https://musicapp.top/musicyt/)
18:21:14	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202024%2021:21:10%20GMT	https://musicapp.top/musicyt/js/date.js	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/js/date.js	(from https://musicapp.top/musicyt/)
18:21:16	14706/14706	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2263c04115-3972%22	http://waust.at/d.js	C:/Users/DXP%20HUB/Desktop/Musicapix/waust.at/d.js	(from https://musicapp.top/musicyt/)
18:21:16	16895/16895	---M--	200	added ('OK')	image/png	etag:%22661d935f-41ff%22	https://musicapp.top/musicyt/MusicPix-preto.png	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/MusicPix-preto.png	(from https://musicapp.top/musicyt/)
18:21:16	18735/18735	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2020:51:56%20GMT	https://musicapp.top/musicyt/etapa2/index.html	C:/Users/DXP%20HUB/Desktop/Musicapix/musicapp.top/musicyt/etapa2/index.html	(from https://musicapp.top/musicyt/)
